capacity,lat,lon,name,short_name,station_id,startCount_0,endCount_0,startCount_1,endCount_1,startCount_2,endCount_2,startCount_3,endCount_3,startCount_4,endCount_4,startCount_5,endCount_5,startCount_6,endCount_6,startCount_7,endCount_7,startCount_8,endCount_8,startCount_9,endCount_9,startCount_10,endCount_10,startCount_11,endCount_11,startCount_12,endCount_12,startCount_13,endCount_13,startCount_14,endCount_14,startCount_15,endCount_15,startCount_16,endCount_16,startCount_17,endCount_17,startCount_18,endCount_18,startCount_19,endCount_19,startCount_20,endCount_20,startCount_21,endCount_21,startCount_22,endCount_22,startCount_23,endCount_23
37,40.72217444,-73.98368779,E 2 St & Avenue B,5515.02,301,384.0,818.0,233.0,413.0,129.0,179.0,92.0,93.0,79.0,69.0,301.0,68.0,1175.0,287.0,2909.0,719.0,5507.0,1164.0,2118.0,949.0,1724.0,1187.0,1923.0,1553.0,2040.0,1809.0,2143.0,2001.0,2069.0,2189.0,2111.0,2589.0,2299.0,3074.0,2561.0,4909.0,3019.0,5817.0,2619.0,4735.0,1875.0,3861.0,1331.0,2763.0,1018.0,2228.0,701.0,1428.0
52,40.72740794,-73.98142006,E 10 St & Avenue A,5659.05,445,501.0,1307.0,387.0,685.0,238.0,358.0,129.0,251.0,155.0,113.0,381.0,121.0,1342.0,425.0,4265.0,1100.0,10419.0,1874.0,6121.0,1432.0,4069.0,1758.0,3262.0,1910.0,3569.0,2364.0,3150.0,2807.0,2805.0,3030.0,2885.0,3362.0,2941.0,4302.0,3531.0,6856.0,4964.0,9535.0,3917.0,10358.0,2252.0,7950.0,1479.0,4801.0,1164.0,3341.0,1105.0,2287.0
34,40.73314259,-73.97573881,E 20 St & FDR Drive,5886.02,487,240.0,789.0,113.0,338.0,56.0,198.0,36.0,152.0,241.0,100.0,737.0,134.0,2872.0,679.0,5207.0,1073.0,7540.0,1637.0,4836.0,1120.0,2369.0,1096.0,2211.0,1733.0,2143.0,1988.0,2236.0,2334.0,2313.0,2782.0,2747.0,3086.0,2828.0,3923.0,3709.0,7181.0,3610.0,5584.0,2819.0,3809.0,1869.0,3493.0,1270.0,2916.0,931.0,2288.0,511.0,1403.0
44,40.73221853,-73.98165557,1 Ave & E 16 St,5779.08,504,1101.0,1217.0,559.0,668.0,322.0,481.0,220.0,299.0,219.0,194.0,954.0,315.0,3222.0,1542.0,5290.0,2514.0,6041.0,2683.0,3030.0,2288.0,2590.0,2209.0,2897.0,2436.0,3242.0,3167.0,3251.0,3344.0,3352.0,3530.0,3798.0,4110.0,4140.0,4549.0,4792.0,7473.0,4777.0,8050.0,4307.0,5963.0,3264.0,4116.0,2317.0,3000.0,2145.0,2749.0,1666.0,1780.0
39,40.76727216,-73.99392888,W 52 St & 11 Ave,6926.01,72,335.0,349.0,240.0,179.0,165.0,78.0,84.0,61.0,117.0,24.0,273.0,66.0,510.0,722.0,1714.0,1131.0,3383.0,2035.0,2969.0,3081.0,1918.0,2272.0,1807.0,1762.0,2118.0,1881.0,2218.0,2038.0,2144.0,2206.0,2281.0,2436.0,2762.0,2935.0,3467.0,3383.0,3496.0,3853.0,2588.0,2950.0,1535.0,1922.0,916.0,1351.0,800.0,1224.0,565.0,653.0
33,40.71911552,-74.00666661,Franklin St & W Broadway,5430.08,79,229.0,169.0,119.0,87.0,58.0,56.0,30.0,19.0,18.0,107.0,122.0,91.0,272.0,503.0,491.0,926.0,1542.0,2477.0,1402.0,2997.0,1232.0,2112.0,1279.0,1652.0,1572.0,1598.0,1692.0,1691.0,1695.0,1580.0,1703.0,1671.0,2079.0,1802.0,2903.0,1979.0,3551.0,2223.0,2248.0,1498.0,1241.0,933.0,836.0,652.0,504.0,440.0,380.0,299.0
27,40.71117416,-74.00016545,St James Pl & Pearl St,5167.06,82,63.0,110.0,40.0,87.0,26.0,84.0,11.0,32.0,9.0,25.0,37.0,83.0,411.0,158.0,387.0,375.0,543.0,569.0,830.0,486.0,622.0,431.0,528.0,486.0,527.0,549.0,630.0,657.0,637.0,636.0,662.0,630.0,719.0,777.0,862.0,963.0,873.0,914.0,701.0,769.0,494.0,548.0,311.0,480.0,179.0,380.0,115.0,227.0
62,40.68382604,-73.97632328,Atlantic Ave & Fort Greene Pl,4354.07,83,156.0,65.0,92.0,34.0,37.0,20.0,24.0,9.0,14.0,13.0,20.0,130.0,279.0,542.0,339.0,725.0,385.0,1457.0,372.0,1368.0,477.0,632.0,592.0,708.0,673.0,768.0,770.0,749.0,799.0,775.0,839.0,818.0,901.0,985.0,1171.0,1101.0,1425.0,914.0,1185.0,749.0,861.0,530.0,712.0,299.0,580.0,253.0,431.0,177.0
19,40.69608941,-73.97803415,Park Ave & St Edwards St,4700.06,119,8.0,43.0,15.0,31.0,10.0,25.0,5.0,9.0,15.0,4.0,33.0,9.0,170.0,282.0,168.0,57.0,312.0,216.0,250.0,135.0,170.0,132.0,190.0,132.0,184.0,152.0,168.0,183.0,226.0,313.0,186.0,333.0,230.0,293.0,244.0,428.0,195.0,330.0,194.0,205.0,120.0,172.0,70.0,142.0,52.0,114.0,26.0,63.0
19,40.68676793,-73.95928168,Lexington Ave & Classon Ave,4452.03,120,112.0,212.0,71.0,111.0,76.0,54.0,46.0,24.0,20.0,9.0,95.0,12.0,545.0,50.0,931.0,117.0,1209.0,228.0,838.0,265.0,569.0,379.0,518.0,399.0,523.0,370.0,530.0,460.0,497.0,460.0,455.0,516.0,485.0,660.0,580.0,803.0,653.0,1261.0,669.0,1115.0,417.0,810.0,288.0,549.0,234.0,514.0,185.0,304.0
31,40.73172428,-74.00674436,Barrow St & Hudson St,5805.05,127,444.0,401.0,211.0,247.0,114.0,122.0,42.0,64.0,31.0,40.0,224.0,136.0,1039.0,808.0,2756.0,1125.0,5057.0,3772.0,5709.0,7159.0,3705.0,4256.0,3091.0,2540.0,3084.0,2603.0,3027.0,2845.0,2916.0,3466.0,2980.0,3038.0,3488.0,3335.0,5488.0,5710.0,6721.0,7420.0,4341.0,5314.0,2587.0,3130.0,1694.0,1888.0,1199.0,1210.0,724.0,758.0
30,40.72710258,-74.00297088,MacDougal St & Prince St,5687.04,128,590.0,588.0,305.0,318.0,186.0,183.0,147.0,88.0,162.0,113.0,329.0,80.0,685.0,581.0,1827.0,1949.0,4685.0,6726.0,4268.0,6292.0,2461.0,2754.0,2832.0,2681.0,3006.0,3285.0,3281.0,3398.0,3268.0,3269.0,3397.0,3224.0,3702.0,3384.0,5867.0,4823.0,7468.0,6069.0,4472.0,4761.0,2939.0,3157.0,2153.0,2037.0,1624.0,1526.0,1177.0,971.0
24,40.69239502,-73.99337909,Clinton St & Joralemon St,4605.04,143,119.0,149.0,107.0,61.0,82.0,43.0,38.0,22.0,15.0,14.0,73.0,348.0,242.0,1024.0,855.0,2625.0,2083.0,3086.0,2151.0,2114.0,1272.0,1203.0,1220.0,1150.0,1239.0,1209.0,1108.0,1088.0,1188.0,965.0,1321.0,1145.0,1597.0,1042.0,2569.0,1209.0,2302.0,1501.0,1533.0,1135.0,786.0,711.0,521.0,557.0,416.0,409.0,300.0,258.0
19,40.69839895,-73.98068914,Nassau St & Navy St,4812.02,144,71.0,66.0,19.0,49.0,18.0,30.0,23.0,25.0,8.0,10.0,20.0,34.0,95.0,193.0,188.0,135.0,383.0,873.0,373.0,880.0,460.0,604.0,429.0,529.0,485.0,538.0,586.0,749.0,602.0,661.0,800.0,682.0,840.0,705.0,875.0,806.0,753.0,743.0,640.0,563.0,410.0,328.0,291.0,244.0,154.0,185.0,165.0,149.0
39,40.71625008,-74.0091059,Hudson St & Reade St,5359.10,146,303.0,245.0,132.0,148.0,90.0,65.0,29.0,57.0,56.0,39.0,148.0,218.0,600.0,580.0,1017.0,1111.0,1755.0,2098.0,1713.0,2376.0,1339.0,1654.0,1305.0,1499.0,1491.0,1989.0,1679.0,1850.0,1712.0,1749.0,1578.0,1721.0,1800.0,2079.0,2574.0,2769.0,3355.0,2586.0,2626.0,1714.0,1487.0,1210.0,994.0,733.0,723.0,505.0,492.0,360.0
29,40.720873600000004,-73.98085795,E 2 St & Avenue C,5476.03,150,185.0,583.0,130.0,320.0,72.0,167.0,60.0,94.0,88.0,55.0,204.0,44.0,966.0,199.0,2579.0,896.0,5003.0,893.0,2198.0,547.0,1153.0,565.0,1210.0,725.0,1097.0,804.0,1108.0,1039.0,1220.0,1282.0,1194.0,1374.0,1341.0,1939.0,1707.0,3078.0,1975.0,3747.0,1676.0,3822.0,1167.0,3088.0,719.0,2399.0,495.0,1762.0,345.0,1120.0
33,40.72210378668603,-73.99724900722505,Cleveland Pl & Spring St,5492.05,151,574.0,599.0,353.0,325.0,184.0,223.0,130.0,139.0,90.0,109.0,121.0,220.0,778.0,1186.0,1598.0,1573.0,3678.0,4490.0,4203.0,6187.0,3106.0,4568.0,3773.0,4231.0,4746.0,4783.0,4889.0,5101.0,5083.0,4677.0,5206.0,4724.0,5480.0,4773.0,7561.0,5827.0,7371.0,6355.0,5141.0,4926.0,3578.0,3385.0,2395.0,2182.0,1551.0,1343.0,1026.0,1006.0
23,40.69089272,-73.99612349,Henry St & Atlantic Ave,4531.05,157,255.0,237.0,150.0,107.0,77.0,97.0,38.0,47.0,20.0,8.0,118.0,22.0,392.0,137.0,943.0,437.0,1532.0,697.0,1360.0,987.0,930.0,943.0,935.0,882.0,1060.0,1043.0,992.0,1173.0,941.0,1242.0,1306.0,1297.0,1365.0,1281.0,1519.0,1759.0,1594.0,2500.0,1340.0,1977.0,905.0,1385.0,832.0,905.0,711.0,592.0,532.0,486.0
35,40.72917025,-73.99810231,LaGuardia Pl & W 3 St,5721.14,161,792.0,413.0,459.0,257.0,205.0,122.0,101.0,85.0,81.0,21.0,160.0,32.0,300.0,221.0,665.0,691.0,1793.0,1503.0,1516.0,2447.0,1423.0,2224.0,1365.0,2012.0,1884.0,2172.0,2007.0,2182.0,2149.0,2159.0,2078.0,2221.0,2443.0,2365.0,2855.0,3232.0,2968.0,3499.0,2493.0,2555.0,2234.0,1977.0,2141.0,1480.0,1628.0,1021.0,1129.0,636.0
47,40.75323098,-73.97032517,E 47 St & 2 Ave,6498.10,164,184.0,202.0,102.0,121.0,46.0,51.0,23.0,45.0,14.0,96.0,107.0,403.0,635.0,527.0,1080.0,1923.0,2659.0,5783.0,2470.0,4123.0,1290.0,1730.0,1251.0,1252.0,1633.0,1337.0,1469.0,1489.0,1420.0,1158.0,1525.0,1069.0,2739.0,1204.0,4520.0,1854.0,2877.0,1817.0,1470.0,1294.0,981.0,979.0,646.0,668.0,489.0,524.0,324.0,316.0
45,40.7489006,-73.97604882,E 39 St & 3 Ave,6389.03,167,272.0,335.0,113.0,153.0,74.0,93.0,33.0,52.0,40.0,102.0,171.0,236.0,785.0,1245.0,2323.0,2558.0,4936.0,6224.0,4178.0,5743.0,2212.0,2089.0,2084.0,1690.0,2496.0,2186.0,2344.0,2355.0,2669.0,2108.0,2607.0,1930.0,3132.0,2303.0,3906.0,3049.0,3274.0,2929.0,2106.0,1989.0,1389.0,1364.0,946.0,1009.0,757.0,761.0,446.0,507.0
47,40.73971301,-73.99456405,W 18 St & 6 Ave,6064.08,168,269.0,167.0,129.0,102.0,57.0,67.0,43.0,59.0,38.0,44.0,105.0,535.0,882.0,1411.0,1622.0,2495.0,3908.0,6646.0,4062.0,8413.0,3126.0,4216.0,3466.0,3862.0,4449.0,4883.0,5089.0,4904.0,5255.0,4880.0,5700.0,5045.0,6578.0,5357.0,9540.0,6517.0,7528.0,6054.0,4358.0,3858.0,2736.0,2284.0,1245.0,870.0,682.0,547.0,392.0,339.0
51,40.76068327096592,-73.98452728986742,Broadway & W 49 St,6708.02,173,385.0,350.0,247.0,229.0,144.0,140.0,94.0,91.0,78.0,91.0,204.0,852.0,1152.0,3629.0,3329.0,6226.0,6476.0,8416.0,6679.0,6371.0,3658.0,2731.0,3182.0,2494.0,3410.0,2910.0,3803.0,3429.0,3914.0,3133.0,3610.0,2931.0,4621.0,3046.0,5448.0,4147.0,4325.0,3993.0,2602.0,2759.0,1567.0,1496.0,1278.0,1126.0,1183.0,1049.0,815.0,648.0
30,40.7381765,-73.97738662,E 25 St & 1 Ave,6004.07,174,198.0,615.0,110.0,353.0,51.0,212.0,37.0,103.0,100.0,108.0,181.0,205.0,846.0,611.0,2258.0,2195.0,6462.0,4087.0,3073.0,2135.0,1730.0,1519.0,1539.0,1196.0,1490.0,1394.0,1469.0,1676.0,1650.0,1704.0,2150.0,1629.0,2072.0,1786.0,2614.0,3217.0,2809.0,3121.0,2366.0,2708.0,1870.0,2113.0,1007.0,1767.0,744.0,1605.0,417.0,1041.0
45,40.70905623,-74.01043382,Liberty St & Broadway,5105.01,195,246.0,305.0,160.0,155.0,125.0,119.0,65.0,54.0,23.0,41.0,45.0,134.0,519.0,584.0,1193.0,1945.0,3437.0,6131.0,3094.0,5482.0,1497.0,2137.0,1710.0,1533.0,2454.0,2126.0,2472.0,2363.0,2241.0,2074.0,2539.0,2048.0,4073.0,2532.0,6040.0,3201.0,3519.0,2596.0,1755.0,1539.0,1080.0,1154.0,722.0,729.0,522.0,600.0,416.0,487.0
28,40.74334935,-74.00681753,W 16 St & The High Line,6233.05,212,272.0,197.0,175.0,115.0,113.0,82.0,122.0,46.0,59.0,40.0,67.0,335.0,394.0,1774.0,1448.0,2104.0,3292.0,3698.0,3051.0,5304.0,1876.0,2211.0,2113.0,2205.0,2629.0,2249.0,3075.0,2619.0,3106.0,2601.0,3301.0,2671.0,3820.0,2772.0,4694.0,3579.0,4238.0,4187.0,3008.0,2675.0,1728.0,1592.0,1086.0,899.0,653.0,526.0,392.0,398.0
23,40.70037867,-73.99548059,Columbia Heights & Cranberry St,4829.01,216,54.0,68.0,31.0,42.0,13.0,34.0,3.0,7.0,3.0,10.0,32.0,3.0,94.0,21.0,206.0,84.0,573.0,232.0,350.0,238.0,404.0,361.0,450.0,367.0,487.0,413.0,515.0,507.0,552.0,559.0,584.0,548.0,642.0,534.0,658.0,560.0,686.0,528.0,601.0,535.0,398.0,382.0,282.0,225.0,193.0,192.0,109.0,150.0
